game_id,player_id
1,5
1,3
1,4
2,2
2,1
2,3
3,6
3,3
3,5
3,1
3,2
4,3
4,1
4,4
4,5
5,4
5,1
5,3
5,6
6,6
6,1
6,4
6,3
6,2
7,1
7,3
7,5
7,2
8,1
8,6
8,5
9,4
9,1
9,3
9,2
10,5
10,3
10,1
10,2
10,6
11,4
11,3
11,5
11,2
11,1
12,5
12,3
12,4
12,1
13,3
13,1
13,4
13,2
14,3
14,1
14,4
14,5
15,4
15,6
15,5
15,1
15,3
16,5
16,2
16,3
16,1
17,5
17,2
17,6
17,4
17,1
18,5
18,1
18,3
18,2
19,3
19,1
19,2
20,1
20,2
20,6
20,5
20,3
21,4
21,5
21,3
22,5
22,1
22,6
23,6
23,1
23,5
23,3
24,5
24,1
24,2
24,3
24,6
25,6
25,3
25,2
25,1
25,4
26,6
26,1
26,3
26,2
27,3
27,2
27,1
28,1
28,4
28,5
28,2
29,3
29,2
29,6
30,6
30,3
30,2
30,4
31,6
31,1
31,3
31,2
31,5
32,3
32,4
32,5
32,2
33,6
33,5
33,2
33,3
33,4
34,5
34,4
34,1
35,3
35,6
35,5
36,2
36,3
36,6
36,1
37,4
37,6
37,3
38,1
38,5
38,2
38,3
39,2
39,4
39,5
39,1
40,2
40,3
40,5
41,6
41,4
41,2
41,5
42,5
42,1
42,6
42,2
42,4
43,1
43,4
43,6
43,3
43,2
44,5
44,1
44,6
44,4
45,2
45,5
45,4
46,4
46,3
46,2
46,5
47,4
47,2
47,3
47,6
48,3
48,5
48,4
48,1
48,2
49,6
49,5
49,2
49,4
50,4
50,2
50,1
50,3
50,5
51,3
51,2
51,4
51,6
52,3
52,4
52,6
52,2
53,2
53,5
53,3
53,4
53,1
54,5
54,1
54,3
55,6
55,4
55,2
56,1
56,2
56,6
56,5
56,3
57,4
57,5
57,1
57,2
57,3
58,2
58,1
58,3
59,4
59,1
59,2
59,6
60,1
60,6
60,2
61,6
61,2
61,1
62,1
62,5
62,6
62,4
62,2
63,4
63,1
63,6
63,2
63,3
64,5
64,3
64,4
65,6
65,4
65,2
66,2
66,3
66,1
67,5
67,4
67,3
68,2
68,4
68,6
68,5
68,3
69,5
69,4
69,1
69,6
70,3
70,6
70,1
70,2
70,4
71,3
71,6
71,5
71,2
71,4
72,1
72,6
72,4
72,5
72,3
73,2
73,5
73,1
74,6
74,2
74,3
74,5
74,1
75,1
75,3
75,6
75,4
76,6
76,3
76,4
76,1
77,4
77,3
77,6
77,1
78,2
78,4
78,3
79,1
79,5
79,3
79,2
80,4
80,6
80,5
81,2
81,3
81,4
81,6
82,5
82,1
82,4
83,4
83,6
83,5
83,2
83,1
84,4
84,3
84,2
85,2
85,4
85,5
85,3
86,4
86,5
86,1
86,2
86,6
87,1
87,2
87,4
88,2
88,3
88,1
88,6
89,6
89,3
89,2
90,2
90,6
90,5
90,3
91,3
91,6
91,4
92,4
92,3
92,6
93,4
93,6
93,2
93,1
93,3
94,1
94,4
94,5
94,3
95,1
95,6
95,2
96,5
96,1
96,6
96,4
96,2
97,5
97,6
97,1
97,2
97,4
98,6
98,4
98,1
99,6
99,5
99,2
99,4
99,1
100,5
100,1
100,6
100,2
100,4
101,4
101,5
101,6
102,4
102,5
102,1
103,1
103,6
103,5
104,3
104,5
104,2
104,6
105,3
105,1
105,6
105,4
105,2
106,4
106,1
106,3
106,6
107,4
107,3
107,2
108,4
108,6
108,1
108,5
109,4
109,1
109,5
109,2
109,6
110,2
110,6
110,4
110,5
111,4
111,6
111,5
111,1
112,4
112,1
112,3
112,6
113,4
113,6
113,5
113,3
113,2
114,6
114,5
114,3
114,4
114,1
115,3
115,1
115,5
115,2
115,4
116,2
116,4
116,6
116,3
117,3
117,4
117,6
118,6
118,2
118,4
119,4
119,1
119,3
120,5
120,2
120,6
121,1
121,6
121,5
121,4
121,2
122,1
122,4
122,2
122,5
122,3
123,6
123,1
123,4
123,5
123,2
124,2
124,4
124,3
124,5
124,1
125,2
125,3
125,5
125,6
125,4
126,1
126,2
126,3
126,4
126,6
127,5
127,3
127,4
127,6
128,6
128,1
128,2
129,3
129,1
129,5
130,4
130,5
130,1
